dog_id,gender,age,weight_lbs,activity_level,overall_health,lifespan_years
1,Female,1.7,65.1,Moderate,Poor,13.8
2,Female,10.8,64.6,Moderate,Poor,11.5
3,Female,4.8,60,Moderate,Good,12.5
4,Female,5.5,60.7,High,Excellent,12.1
5,Male,9.1,74.5,Moderate,Poor,9.4
6,Male,5.9,62.8,Low,Fair,10.3
7,Male,4.6,64.3,Moderate,Good,11.7
8,Male,5.4,68.2,High,Excellent,7.9
9,Female,2.2,53.9,High,Excellent,11.1
10,Male,10.9,66.1,High,Excellent,12.9
11,Female,6.1,65.6,High,Excellent,10.9
12,Male,8.6,72.8,Moderate,Good,10.4
13,Female,10.8,54.4,Moderate,Good,12.8
14,Male,4.7,58.7,Low,Fair,10.7
15,Female,1.6,71.2,High,Excellent,11.6
16,Female,3.6,70.2,Moderate,Fair,8.5
17,Male,4.1,72.1,Low,Fair,8.8
18,Male,5.9,67,Moderate,Fair,9.1
19,Male,8.4,54.5,Low,Fair,11.9
20,Male,2.9,68.3,Low,Fair,10.4
21,Female,11.7,68,Moderate,Excellent,12.4
22,Female,1.3,58.3,Low,Poor,10.8
23,Female,4,63,Moderate,Good,12.7
24,Female,4.3,61.1,Moderate,Fair,13.6
25,Female,8.3,76.1,Low,Fair,8.8
26,Male,7.2,74.5,Moderate,Fair,11.2
27,Female,4.2,54,Moderate,Good,10.6
28,Female,7.2,57,Moderate,Good,12.4
29,Female,2.3,61.9,Moderate,Fair,9.6
30,Female,5.4,50.5,Moderate,Good,10.6
31,Male,2.3,72.1,Moderate,Good,11.2
32,Male,1.7,59.7,Moderate,Excellent,12
33,Male,5.5,65.2,Moderate,Fair,11.8
34,Male,6.2,71.2,Low,Poor,10.5
35,Female,5.7,58.6,Moderate,Excellent,10.6
36,Male,7,69.7,Moderate,Fair,10.9
37,Female,5.1,59.7,Moderate,Fair,13.3
38,Male,11.3,63.9,Moderate,Good,11.5
39,Male,8.9,57.4,Moderate,Good,10.3
40,Male,1.1,69.4,Moderate,Excellent,10
41,Female,5.8,58.9,Low,Fair,9.4
42,Female,2.5,58.3,High,Excellent,10.7
43,Male,5.1,63.9,Moderate,Excellent,9.9
44,Male,4.8,79.1,Moderate,Fair,7
45,Male,4,67.4,Moderate,Good,12.1
46,Male,2.2,65.6,Moderate,Fair,12.3
47,Male,1.9,67.2,Low,Poor,10.4
48,Male,10.1,72.3,High,Good,10.4
49,Male,1.2,68.5,Moderate,Good,10.1
50,Female,10.1,66.9,Moderate,Fair,11.2
51,Male,7.1,68,Moderate,Good,11.5
52,Female,8,61.6,Moderate,Good,11.6
53,Male,6.2,68.2,Moderate,Good,11.2
54,Male,3.6,71.7,Moderate,Good,11.7
55,Male,10.4,67.3,Low,Poor,11.3
56,Male,7,67.7,Low,Fair,11.4
57,Female,7.3,67.5,Moderate,Fair,11.2
58,Male,6.9,73,Moderate,Good,13
59,Female,7.7,64.6,Moderate,Excellent,9.5
60,Female,9.4,52.1,Moderate,Excellent,13.8
61,Female,5.9,62.9,Moderate,Fair,10.5
62,Male,4,64.2,Low,Excellent,10.9
63,Male,3.2,62.8,Moderate,Excellent,11.7
64,Male,5.4,64.8,Moderate,Good,10.9
65,Male,5.1,70.9,Moderate,Poor,7.6
66,Male,7.2,65.9,Low,Poor,10.5
67,Male,7.7,64.1,Moderate,Good,11.6
68,Female,7.1,59.6,High,Excellent,9.5
69,Male,3.3,61.8,Low,Poor,11.9
70,Female,4.5,58.4,Low,Excellent,10.1
71,Male,6.4,65.6,Moderate,Poor,13.3
72,Female,4.3,59.2,Moderate,Good,11.6
73,Male,10,68.3,Moderate,Good,10.2
74,Male,9.6,68,Moderate,Fair,11.4
75,Male,2.3,77,High,Good,11.3
76,Male,6.2,63.9,Low,Good,12.2
77,Female,9.6,69.4,Moderate,Fair,10.2
78,Female,2,60,Low,Poor,8.1
79,Female,4.7,59.6,High,Excellent,10
80,Female,1.7,64.8,Low,Fair,9.2
81,Male,10.3,71.7,Low,Fair,11
82,Female,9.2,57.8,Moderate,Good,11
83,Male,2.9,64.1,Moderate,Good,10.7
84,Female,7,53.7,Moderate,Excellent,10.6
85,Female,6.1,62,High,Fair,11.7
86,Male,6.8,67.6,Moderate,Fair,10.1
87,Male,7.7,61.1,High,Excellent,11.7
88,Female,9.4,53.3,Moderate,Good,10.5
89,Female,4.6,59,Low,Good,9
90,Female,11,60,Moderate,Fair,12.4
91,Female,7.3,59.9,Moderate,Good,9.5
92,Male,8.6,71.4,Moderate,Fair,11
93,Female,4.8,63,Low,Poor,9.7
94,Male,1.3,62.4,Moderate,Good,10.3
95,Male,10.1,71,Moderate,Good,11.3
96,Male,4.6,69.4,Moderate,Fair,11.6
97,Female,7.2,57.8,Low,Fair,12.5
98,Male,1.4,59.6,Moderate,Fair,12.3
99,Male,8.2,68.4,Low,Good,10.5
100,Male,10.6,74.8,Low,Fair,13.5
101,Male,2.1,71.6,Moderate,Fair,10.1
